"id","Test","RequestIdentifier","UIPrepaidCardNumber","UIDateOfBirth","PrepaidCardNumber","CustomerID","PrepaidCardStatus","DirectDepositEnrolled","PrepaidProgramPayFrequencyCode1","PrepaidProgramPayFrequencyCode2","OverDraftProductExists","CreditProductExists","FirstName","Middle Initial","LastName","HomePhone","WorkPhone","MobilePhone","Email","SMSEnrolled","MarketingOptIn","Address1","Address2","City","State","Zip","SSN","EmploymentStatus","EmployerName","EmployerPhone","UITakeHomePay","MonthlyIncome","RentOrOwn","MonthlyHousingPayment","PromoCode","SourceQueryString","IPAddress","AddressDifference","ApplicationID","Esignature","EmailEnrolled","Security Questions","ApplicationStatus","DistributionMethod","NoPreviousChargeOff","DirectDepositSource","Stated Paydate Frequency Code1","Stated Paydate Frequency Code2","Calc'd Paydate Frequency Code1","Calc'd Paydate Frequency Code2","Avg DD Amt 1","DD Count 1","DD Delinq 1","Advances 1","Avg Advance 1","Avg LOC 1","Avg DD Amt 1-6","DD Count 1-6","DD Delinq 1-6","Advances 1-6","Avg Advance 1-6","Avg LOC 1-6","Avg DD Amt 1-12","DD Count 1-12","DD Delinq 1-12","Advances 1-12","Avg Advance 1-12","Avg LOC 1-12","Avg DD Amt 1-24","DD Count 1-24","DD Delinq 1-24","Advances 1-24","Avg Advance 1-24","Avg LOC 1-24","Avg DD Amt 1-36","DD Count 1-36","DD Delinq 1-36","Advances 1-36","Avg Advance 1-36","Avg LOC 1-36","Avg DD Amt Total","DD Count Total","DD Delinq Total","Advances Total","Avg Advance Total","Avg LOC Total","# Transactions 1","# Cash Trans 1","Avg Cash Tran 1","Avg Transaction 1","# Loads 1","Avg Load 1","# Transactions 1-6","# Cash Trans 1-6","Avg Cash Tran 1-6","Avg Transaction 1-6","# Loads 1-6","Avg Load 1-6","# Transactions 1-12","# Cash Trans 1-12","Avg Cash Tran 1-12","Avg Transaction 1-12","# Loads 1-12","Avg Load 1-12","# Transactions 1-24","# Cash Trans 1-24","Avg Cash Tran 1-24","Avg Transaction 1-24","# Loads 1-24","Avg Load 1-24","# Transactions 1-36","# Cash Trans 1-36","Avg Cash Tran 1-36","Avg Transaction 1-36","# Loads 1-36","Avg Load 1-36","# Transactions Total","# Cash Trans Total","Avg Cash Tran Total","Avg Transaction Total","# Loads Total","Avg Load Total","NumConsecutiveGoodPayments","AbilityToPayCreditLine","CurrentDate","DateOpened","Days from DateOpened","Initial Tier","Initial Limit","Initial DDLevel","Initial # of Installments","Current Tier","Current Limit","Current DDLevel","Current # of Repayments","Current Block Code1","Current Block Code2","Change","New Tier","New Limit","New DDLevel","New # Repayments","New Block Code1","New Block Code2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4","Change","Tier","DDLevel","Repayments","LOC","Block Code 1","Block Code 2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4"
1,"1 DD","R","1234567812345678","1/2/1980","1234567812345678",11111111111,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,1000,1,100,,,,,,
2,"2 DD's","R","2234567812345678","1/3/1965","2234567812345678",11111111112,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,750,1,300,,,,,,
3,"0 DD's (No Direct Deposit)","R","3234567812345678","2/3/1967","3234567812345678",11111111113,"Active","TRUE",,,"FALSE","FALSE","Josh",,"Doe",6053234567,,,"Joshdoe@sio.midco.net",,,"323 Second St",,"Sioux Falls","SD",57102,323456789,,,,1200,2400,"Rent",750,,"http://www.blackhawknetwork.com","123.123.123",,3,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,660,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Pending DD",,,,,,,"No DD",,,
4,"6 DD's","R","4234567812345678","3/5/1990","4234567812345678",11111111114,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,240,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,375,1,150,,,,,,
5,"7 DD's (ATP Credit Line Used)","R","5234567812345678","4/8/1984","5234567812345678",11111111115,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1250,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,700,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,1250,2,600,,,,,,
6,"12 DD's (Not 18 Years Old)","R","6234567812345678","6/16/1994","6234567812345678",11111111116,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,600,1200,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,380,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Ineligible",,,,,,,"Not 18",,,
7,"13 DD's","R","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",1500,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1400,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",4,1250,3,1250,,,,,,
8,"24 DD's (ATP Credit Line Used)","R","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",4,375,3,375,,,,,,
9,"25 DD's","R","9234567812345678","4/13/1964","9234567812345678",11111111119,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,500,1000,"Rent",100,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",5,500,4,700,,,,,,
10,"6 DD's (Not Active)","R","1034567812345678","3/5/1990","1034567812345678",11111111120,"Not Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Ineligible",,,,,,,"Not Active",,,
